தூ,0.1325081014,தூ,0.1325081014,-0.8777575686
தூ2,0.1103530192,தூ2,0.1103530192,-0.9572157803
தெ,0.1172505979,தெ,0.1172505979,-0.930884934
தெ1,0.2394926803,தெ1,0.2394926803,-0.6207077555
தே,0.2157610012,தே,0.2157610012,-0.6660270513
தே1,0.3002091345,தே1,0.3002091345,-0.5225760976
தை,0.2351645654,தை,0.2351645654,-0.6286281172
தை1,0.4806719288,தை1,0.4806719288,-0.3181512399
தொ,0.1444487563,தொ,0.1444487563,-0.8402861931
தொ1,0.2512986575,தொ1,0.2512986575,-0.5998098315
தோ,0.1313472044,தோ,0.1313472044,-0.8815791663
தோ1,0.1349254537,தோ1,0.1349254537,-0.8699061129
தௌ,0.004643588,தௌ,0.004643588,-2.3331463198
ந்,0.9567449775,ந்,0.9567449775,-0.019203809
ந்1,1.350941105,ந்1,1.350941105,0.1306364161
ந்2,0.7967791835,ந்2,0.7967791835,-0.0986620207
ந,0.4238932505,ந,0.4238932505,-0.3727434985
ந1,0.6527018822,ந1,0.6527018822,-0.1852851349
ந2,0.914728468,ந2,0.914728468,-0.0387078047
நா,0.4008411528,நா,0.4008411528,-0.3970276975
நா1,0.3963435202,நா1,0.3963435202,-0.4019282377
நி,0.3635266061,நி,0.3635266061,-0.4394637981
நி1,0.4317614518,நி1,0.4317614518,-0.3647561346
நி2,0.3027457047,நி2,0.3027457047,-0.5189220098
நீ,0.1676666965,நீ,0.1676666965,-0.7755531924
நீ1,0.1568508399,நீ1,0.1568508399,-0.8045131514
நீ2,0.1396331694,நீ2,0.1396331694,-0.8550114042
நு,0.0398021831,நு,0.0398021831,-1.4000931068
நு1,0.0910746812,நு1,0.0910746812,-1.0406023403
நு2,0.0331473399,நு2,0.0331473399,-1.4795513183
நூ,0.0452749833,நூ,0.0452749833,-1.3441417012
நூ2,0.0377050992,நூ2,0.0377050992,-1.4235999123
நெ,0.1419611199,நெ,0.1419611199,-0.8478305833
நெ1,0.0742089995,நெ1,0.0742089995,-1.1295434236
நே,0.0398021831,நே,0.0398021831,-1.4000931068
நே1,0.1096269311,நே1,0.1096269311,-0.9600827434
நை,0.0122723398,நை,0.0122723398,-1.9110726284
நை1,0.0168656817,நை1,0.0168656817,-1.7729961002
நொ,0.0328368011,நொ,0.0328368011,-1.4836391577
நொ1,0.010119409,நொ1,0.010119409,-1.9948448507
நோ,0.0456066682,நோ,0.0456066682,-1.340971654
நோ1,0.0455373406,நோ1,0.0455373406,-1.341632336
நௌ,0.001160897,நௌ,0.001160897,-2.9352063111
ப்,1.7990586784,ப்,1.7990586784,0.2550453286
ப்1,1.9884638737,ப்1,1.9884638737,0.2985177052
ப்2,1.4982597647,ப்2,1.4982597647,0.1755871168
ப,2.3106825743,ப,2.3106825743,0.3637402892
ப1,2.3308372124,ப1,2.3308372124,0.3675119431
ப2,3.4444229601,ப2,3.4444229601,0.5371164755
பா,0.872828708,பா,0.872828708,-0.0590709779
பா1,0.6695675639,பா1,0.6695675639,-0.1742055932
பி,0.860888053,பி,0.860888053,-0.0650533191
பி1,0.7977467449,பி1,0.7977467449,-0.0981349592
பி2,0.7169493398,பி2,0.7169493398,-0.1445115308
பீ,0.0777800996,பீ,0.0777800996,-1.1091315051
பீ1,0.0573433178,பீ1,0.0573433178,-1.241517183
பீ2,0.0647754268,பீ2,0.0647754268,-1.1885897168
பு,1.2685287455,பு,1.2685287455,0.103300313
பு1,1.0675976523,பு1,1.0675976523,0.0284076101
